,date,ibdir,daytype_lag_7,daytype_lag_27,daydir
28,2021-04-15,up,up,down,up
29,2021-04-16,up,down,up,up
30,2021-04-19,down,outside,up,down
31,2021-04-20,down,inside,up,down
32,2021-04-21,down,up,up,up
33,2021-04-22,up,outside,down,up
34,2021-04-23,down,inside,outside,up
35,2021-04-26,down,up,up,down
36,2021-04-27,down,up,inside,down
37,2021-04-28,down,up,up,down
38,2021-04-29,down,down,down,down
39,2021-04-30,up,down,down,down
40,2021-05-03,up,up,outside,up
41,2021-05-04,down,down,inside,down
42,2021-05-05,up,up,outside,up
43,2021-05-06,up,down,up,up
44,2021-05-07,down,up,up,up
45,2021-05-10,down,down,up,down
46,2021-05-11,down,inside,inside,down
47,2021-05-12,down,outside,up,up
48,2021-05-13,down,down,up,up
49,2021-05-14,down,inside,down,up
50,2021-05-17,down,up,outside,down
51,2021-05-18,down,up,inside,down
52,2021-05-19,down,up,up,down
53,2021-05-20,down,down,outside,up
54,2021-05-21,down,inside,inside,up
55,2021-05-25,up,outside,up,down
56,2021-05-26,down,up,up,down
57,2021-05-27,down,up,up,down
58,2021-05-28,up,outside,down,up
59,2021-05-31,down,down,down,down
60,2021-06-01,up,up,up,up
61,2021-06-02,up,up,down,up
62,2021-06-03,down,up,up,up
63,2021-06-04,down,down,down,up
64,2021-06-07,up,down,up,up
65,2021-06-08,down,up,down,down
66,2021-06-09,down,down,inside,down
67,2021-06-10,down,up,outside,down
68,2021-06-11,down,inside,down,up
69,2021-06-14,down,outside,inside,down
70,2021-06-15,up,up,up,down
71,2021-06-16,down,up,up,down
72,2021-06-17,up,inside,up,up
73,2021-06-18,down,down,down,down
74,2021-06-21,up,inside,inside,up
75,2021-06-22,down,up,outside,up
76,2021-06-23,down,up,up,down
77,2021-06-24,up,inside,up,up
78,2021-06-25,down,down,outside,up
79,2021-06-28,up,down,down,down
80,2021-06-29,up,down,up,up
81,2021-06-30,down,down,up,down
82,2021-07-01,up,up,up,down
83,2021-07-02,up,outside,down,up
84,2021-07-05,down,inside,down,up
85,2021-07-06,down,up,up,down
86,2021-07-07,up,up,down,up
87,2021-07-08,down,up,up,down
88,2021-07-09,up,down,inside,up
89,2021-07-12,down,inside,outside,up
90,2021-07-13,up,inside,up,up
91,2021-07-14,up,down,up,up
92,2021-07-15,down,down,inside,down
93,2021-07-16,down,up,down,down
94,2021-07-19,down,down,inside,down
95,2021-07-20,up,up,up,down
96,2021-07-21,up,up,up,up
97,2021-07-22,up,inside,inside,down
98,2021-07-23,down,outside,down,up
99,2021-07-26,down,down,down,up
100,2021-07-27,down,down,down,down
101,2021-07-28,up,down,down,up
102,2021-07-29,down,inside,up,up
103,2021-07-30,up,up,outside,up
104,2021-08-02,down,up,inside,down
105,2021-08-03,up,up,up,up
106,2021-08-04,down,down,up,up
107,2021-08-05,up,down,up,up
108,2021-08-06,down,inside,down,down
109,2021-08-09,down,up,inside,down
110,2021-08-10,up,down,inside,up
111,2021-08-11,down,up,down,up
112,2021-08-12,up,down,down,up
113,2021-08-13,up,up,up,up
114,2021-08-16,up,up,down,up
115,2021-08-17,down,up,up,up
116,2021-08-18,down,down,up,up
117,2021-08-19,down,up,inside,up
118,2021-08-20,down,outside,outside,up
119,2021-08-23,down,up,down,down
120,2021-08-24,up,up,down,up
121,2021-08-25,up,down,down,down
122,2021-08-26,up,down,inside,up
123,2021-08-27,up,up,up,up
124,2021-08-30,up,down,up,up
125,2021-08-31,up,up,up,down
126,2021-09-01,down,up,down,down
127,2021-09-02,up,inside,down,up
128,2021-09-03,up,outside,inside,down
129,2021-09-06,up,down,up,up
130,2021-09-07,up,up,down,down
131,2021-09-08,down,up,up,down
132,2021-09-09,up,outside,down,up
133,2021-09-10,up,inside,up,down
134,2021-09-13,up,inside,up,up
135,2021-09-14,up,down,up,up
136,2021-09-15,down,up,down,down
137,2021-09-16,up,inside,up,down
138,2021-09-17,down,down,outside,down
139,2021-09-20,down,down,up,down
140,2021-09-21,up,up,up,up
141,2021-09-22,down,up,down,up
142,2021-09-23,up,down,down,up
143,2021-09-24,down,down,up,down
144,2021-09-27,down,up,down,down
145,2021-09-28,down,outside,up,down
146,2021-09-29,up,down,up,up
147,2021-09-30,down,up,inside,down
148,2021-10-01,up,up,outside,up
149,2021-10-04,up,up,down,down
150,2021-10-05,down,down,up,up
151,2021-10-06,down,up,up,down
152,2021-10-07,down,down,outside,up
153,2021-10-08,down,inside,inside,down
154,2021-10-11,up,outside,inside,up
155,2021-10-12,up,down,down,up
156,2021-10-13,up,inside,up,up
157,2021-10-14,up,outside,inside,up
158,2021-10-15,up,down,down,up
159,2021-10-18,up,up,down,down
160,2021-10-19,down,up,up,up
161,2021-10-20,up,down,up,up
162,2021-10-21,up,down,down,up
163,2021-10-22,up,up,down,up
164,2021-10-25,down,up,up,up
165,2021-10-26,up,up,outside,up
166,2021-10-27,down,down,down,down
167,2021-10-28,down,inside,up,up
168,2021-10-29,down,up,up,up
169,2021-11-01,up,down,up,up
170,2021-11-02,up,up,down,up
171,2021-11-03,down,up,up,up
172,2021-11-04,down,up,down,down
173,2021-11-05,up,inside,inside,up
174,2021-11-08,up,down,outside,up
175,2021-11-09,up,down,down,up
176,2021-11-10,down,up,inside,up
177,2021-11-11,up,up,outside,up
178,2021-11-12,down,up,down,down
179,2021-11-15,down,up,up,up
180,2021-11-16,down,up,up,up
181,2021-11-17,up,inside,down,up
182,2021-11-18,up,up,down,down
183,2021-11-19,down,down,up,down
184,2021-11-22,down,up,up,down
185,2021-11-23,down,up,up,down
186,2021-11-24,down,up,down,down
187,2021-11-25,up,up,inside,down
188,2021-11-26,up,up,up,down
189,2021-11-29,down,outside,down,down
190,2021-11-30,down,down,up,down
191,2021-12-01,up,down,up,up
192,2021-12-02,up,down,up,down
193,2021-12-03,down,down,inside,down
194,2021-12-06,down,inside,down,up
195,2021-12-07,up,down,down,up
196,2021-12-08,down,down,up,down
197,2021-12-09,down,down,up,down
198,2021-12-10,down,up,up,up
199,2021-12-13,up,down,up,down
200,2021-12-14,down,outside,up,down
201,2021-12-15,down,inside,inside,down
202,2021-12-16,down,up,up,down
203,2021-12-17,down,up,down,down
204,2021-12-20,down,down,up,up
205,2021-12-21,up,down,up,up
206,2021-12-22,down,up,up,up
207,2021-12-23,down,down,up,up
208,2021-12-27,up,inside,up,up
209,2021-12-28,up,up,outside,up
210,2021-12-29,down,down,down,down
211,2022-01-03,up,down,down,up
212,2022-01-04,up,up,down,up
213,2022-01-05,up,up,down,up
