position,company,low_wage,high_wage,mid_wage
Network Security Engineer,Box,10000.0,13000.0,11500.0
Cloud Spec,Knowit Poland,6000.0,8000.0,7000.0
QA Engineer,Advisor,7000.0,10000.0,8500.0
Junior Ruby Dev,Ragnarson,4000.0,8000.0,6000.0
PHP Dev,Satisfly,10000.0,18000.0,14000.0
DevOps Jr,Prime Engin.,8400.0,13700.0,11050.0
AWS Devops Eng,Sofomo,7000.0,9000.0,8000.0
Junior PHP Dev ,Droptica,5000.0,8500.0,6750.0
Bubble.io Dev,LTVplus,4280.0,8560.0,6420.0
Junior .Net Dev,Coffee Mug,6000.0,8000.0,7000.0
Junior Java Dev,Summer Agency,6000.0,10000.0,8000.0
Junior Blockchain Dev,BlockLabs,6000.0,10000.0,8000.0
Bubble.io Dev,LTVplus,4280.0,8560.0,6420.0
Angular Dev,House of Angular,4000.0,8000.0,6000.0
Integration Eng,proALPHA,5500.0,11000.0,8250.0
Junior PHP Dev,CKSource,6000.0,10700.0,8350.0
QA Engr with JS,CKSource,6000.0,10700.0,8350.0
Jr. HelpDesk,TEAM Inter.,6000.0,9200.0,7600.0
Intern React Native Dev,Miquido,4000.0,4000.0,4000.0
Junior Java Dev,Codibly,6800.0,11700.0,9250.0
Cloud Engineer,Datumo,8000.0,14000.0,11000.0
Jr QA Eng,WundermanThompson,6000.0,8000.0,7000.0
Junior Tester,YND,4500.0,6500.0,5500.0
Junior PHP Dev ,Droptica,5000.0,8500.0,6750.0
Intern iOS Dev,Miquido,4000.0,4000.0,4000.0
Intern iOS Dev,Miquido,4000.0,4000.0,4000.0
Software Engineer,Tivix Europe,14000.0,16000.0,15000.0
Jr. Data Eng,TEAM Inter.,9000.0,12000.0,10500.0
JrMobile SoftEng,Cosmose,8500.0,13000.0,10750.0
Software Java Eng.,Awin,8500.0,12500.0,10500.0
Junior Bioinformatician,Ardigen,5000.0,7000.0,6000.0
Junior PHP Dev,PGS Software,6700.0,10100.0,8400.0
Junior Java Dev,Summer Agency,6000.0,10000.0,8000.0
QA Engineer,Advisor,7000.0,10000.0,8500.0
Java Dev,iView Recruitment,15000.0,17000.0,16000.0
Java Dev,iView Recruitment,15000.0,17000.0,16000.0
JrSoft.Eng,SmartRecruiters,8000.0,12000.0,10000.0
Junior Java Dev,MPC,6000.0,8000.0,7000.0
Junior .NET Dev,Exeno,3000.0,6000.0,4500.0
Android Dev,Connectis,18500.0,25500.0,22000.0
QuickBase Dev,7N,10100.0,11800.0,10950.0
Technical Consul,proALPHA Group,5000.0,10000.0,7500.0
Java Dev,iView Recruitment,15000.0,17000.0,16000.0
Junior JS Dev,Smart-HR,8000.0,13000.0,10500.0
Progr. Ap. Internet,Sente,7000.0,8200.0,7600.0
Jr FullstJava Dev,Connectis,16000.0,19000.0,17500.0
Product Specialist,Kitopi,5400.0,7300.0,6350.0
Jr Data Eng,TEAM International,9000.0,12000.0,10500.0
